trait,low_marker,mid_marker,high_marker,low_chr,mid_chr,high_chr,low_pos,mid_pos,high_pos,low_lod,mid_lod,high_lod,additive_effect,arrow_head,treat
W3_Control,drTriRepe4Chr4:25066518,drTriRepe4Chr4:55748315,drTriRepe4Chr4:57232950,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1934.14924663544,2026.16558492086,3.3811316241847607,4.554947844723486,3.2817905915192824,0.030063036353313723,last,Control
W3_Control,drTriRepe4Chr8:01965888,drTriRepe4Chr8:10471843,drTriRepe4Chr8:10674099,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,55.4481620120053,417.693436287027,423.153502414346,2.6462991005730885,4.4292421250223555,2.710087544520732,-0.04450748296180188,first,Control
W3_Drought,drTriRepe4Chr4:25066518,drTriRepe4Chr4:25539207,drTriRepe4Chr4:46634946,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1373.6998329448,1588.14088111612,3.9529191704105386,4.987525105344247,3.1613056706038947,0.0352477745451443,last,Drought
W3_Drought,drTriRepe4Chr8:06314921,drTriRepe4Chr8:06327883,drTriRepe4Chr8:07832633,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,210.09107879351203,235.751802693559,282.624926896804,3.547758507415878,5.079306995803847,3.458660303707532,-0.054626107889821286,first,Drought
W4_Drought,drTriRepe4Chr4:25066518,drTriRepe4Chr4:25539207,drTriRepe4Chr4:25638886,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1373.6998329448,1389.71215421523,3.7916396082725896,5.143758042907436,3.129278952649088,0.03958909623023955,last,Drought
W5_Drought,drTriRepe4Chr4:54573848,drTriRepe4Chr4:55745610,drTriRepe4Chr4:56497681,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1898.31580848052,1932.3320928614598,2013.94446511412,3.50135633905154,4.998671031014766,2.7989333185395537,0.046901713449090866,last,Drought
cum_W3_Control,drTriRepe4Chr4:24758825,drTriRepe4Chr4:50786980,drTriRepe4Chr4:57232950,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1353.44426974153,1730.63787497192,2026.16558492086,2.1862277608810388,4.476371967590438,3.0568227572903197,0.01330752268732491,last,Control
cum_W3_Control,drTriRepe4Chr8:03442817,drTriRepe4Chr8:10471843,drTriRepe4Chr8:10674099,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,77.4431137608975,417.693436287027,423.153502414346,3.279506188501216,4.443037805679651,2.615448494960475,-0.04730399249760642,first,Control
cum_W3_Drought,drTriRepe4Chr4:25066518,drTriRepe4Chr4:25539207,drTriRepe4Chr4:46634946,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1373.6998329448,1588.14088111612,4.101723628836737,5.148418946494715,3.057198263716046,0.03885202188167393,last,Drought
cum_W3_Drought,drTriRepe4Chr8:06314921,drTriRepe4Chr8:06373890,drTriRepe4Chr8:07832633,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,210.09107879351203,262.0618077002,282.624926896804,3.5789867762025978,4.904079513591483,3.6077002076530107,-0.03936685289945693,first,Drought
cum_W4_Control,drTriRepe4Chr4:24758825,drTriRepe4Chr4:25539207,drTriRepe4Chr4:25638886,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1353.44426974153,1373.6998329448,1389.71215421523,2.3012967132769404,4.60771340526324,3.0997907916045904,0.0742148553662837,last,Control
cum_W4_Drought,drTriRepe4Chr4:25066518,drTriRepe4Chr4:25539207,drTriRepe4Chr4:25638886,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1373.6998329448,1389.71215421523,4.688037224933822,6.01163965459881,3.4715841182120926,0.07592098615797344,last,Drought
cum_W4_Drought,drTriRepe4Chr8:03442817,drTriRepe4Chr8:06373890,drTriRepe4Chr8:09707907,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,77.4431137608975,262.0618077002,298.905465236037,3.332363936446882,4.3716749209477825,1.7781409498466587,-0.07510604616134968,first,Drought
cum_W5_Drought,drTriRepe4Chr4:25066518,drTriRepe4Chr4:25539207,drTriRepe4Chr4:55748437,drTriRepe4Chr4,drTriRepe4Chr4,drTriRepe4Chr4,1355.56859152771,1373.6998329448,1935.75745100964,3.638369146690536,5.047702354338554,3.049099822939837,0.09980495083895399,last,Drought
cum_W5_Drought,drTriRepe4Chr8:03442817,drTriRepe4Chr8:06373890,drTriRepe4Chr8:09707907,drTriRepe4Chr8,drTriRepe4Chr8,drTriRepe4Chr8,77.4431137608975,262.0618077002,298.905465236037,3.326641512006887,4.4812675387982495,1.9672342238726799,-0.10953468355206414,first,Drought
